mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
34.652607154846194,1.753372297877811,1.5078098773956299,0.31394876328759996,100,2,6,40,False,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 6, 'max_depth': 40, 'bootstrap': False}",0.794841735052755,0.9237983587338804,0.9183274716686206,0.9234075810863619,0.9206721375537319,0.89620945681907,0.05072263758565414,36
44.09213514328003,2.7480269577499254,0.9900667667388916,0.048737346340278105,100,10,2,,False,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_depth': None, 'bootstrap': False}",0.8167252833137945,0.946463462289957,0.9394294646346228,0.9452911293474013,0.9480265728800312,0.9191871824931613,0.05131337581673151,6
97.892169380188,2.290558658785885,1.6181565761566161,0.27746095396291837,500,20,6,50,True,"{'n_estimators': 500, 'min_samples_split': 20, 'min_samples_leaf': 6, 'max_depth': 50, 'bootstrap': True}",0.7881985150449394,0.9101211410707307,0.9105119187182493,0.9105119187182493,0.9105119187182493,0.8859710824540837,0.04888651798317591,50
7.199983787536621,0.24806751415195072,0.8707274913787841,0.12382071879929173,50,10,1,10,True,"{'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 10, 'bootstrap': True}",0.6479093395857757,0.7917155138726065,0.7862446268073466,0.7995310668229777,0.7881985150449394,0.7627198124267293,0.05758445103546061,96
110.74661602973939,2.9481787028862105,1.5423509120941161,0.3303278299305603,500,5,4,20,False,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 20, 'bootstrap': False}",0.7678780773739742,0.8909730363423212,0.8898007033997656,0.895662368112544,0.8925361469323955,0.8673700664322002,0.049784888253816224,69
92.16286544799804,5.49875785221833,1.358928108215332,0.13237757647490428,400,5,4,,True,"{'n_estimators': 400, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': None, 'bootstrap': True}",0.7979679562329035,0.9308323563892146,0.924189136381399,0.9273153575615475,0.9261430246189918,0.9012895662368112,0.05170601138016534,28
11.487266016006469,0.6961773456218328,0.8860593795776367,0.07862879682220222,100,5,6,10,True,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 6, 'max_depth': 10, 'bootstrap': True}",0.661977334896444,0.7897616256350137,0.772567409144197,0.7889800703399765,0.7749120750293084,0.7576397030089879,0.04834562328939625,98
66.44214420318603,1.1371333241240769,1.2187978267669677,0.07194297223101212,400,15,1,20,True,"{'n_estimators': 400, 'min_samples_split': 15, 'min_samples_leaf': 1, 'max_depth': 20, 'bootstrap': True}",0.7753028526768269,0.8905822586948027,0.8901914810472841,0.895662368112544,0.8937084798749512,0.8690894880812818,0.04693693425515435,68
150.95410289764405,11.673418542213685,1.3401480197906495,0.03733378954688344,300,5,1,50,False,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 50, 'bootstrap': False}",0.8042203985932005,0.9531066822977726,0.943728018757327,0.9519343493552169,0.9534974599452911,0.9212973817897616,0.05864717194002876,4
66.34844970703125,1.8758675788007098,1.059934949874878,0.03586913044814544,200,10,6,,False,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 6, 'max_depth': None, 'bootstrap': False}",0.798358733880422,0.9343493552168816,0.9265338022665104,0.9280969128565846,0.9288784681516217,0.903243454474404,0.0525084189347608,26
26.931572484970093,1.3037534219100162,0.8695343017578125,0.015758103624248645,50,10,1,50,False,"{'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 50, 'bootstrap': False}",0.8022665103556077,0.9472450175849941,0.9421649081672528,0.946463462289957,0.9495896834701055,0.9175459163735835,0.0576896876280699,8
162.633851146698,14.855050225125344,1.42483811378479,0.20177166850478973,300,5,1,,False,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': None, 'bootstrap': False}",0.8065650644783119,0.9562329034779211,0.9456819069949199,0.9534974599452911,0.9554513481828839,0.9234857366158657,0.058579850375602906,2
27.73700623512268,1.2691387799480696,0.9162453651428223,0.07460911675017243,100,20,1,20,False,"{'n_estimators': 100, 'min_samples_split': 20, 'min_samples_leaf': 1, 'max_depth': 20, 'bootstrap': False}",0.7663149667839,0.8933177022274326,0.8976162563501368,0.8991793669402111,0.8995701445877295,0.8711996873778819,0.0524892210304838,67
86.62541856765748,20.14010619669467,1.002131175994873,0.16891470590157423,100,2,1,,False,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': None, 'bootstrap': False}",0.8057835091832747,0.9558421258304025,0.946463462289957,0.9546697928878468,0.9562329034779211,0.9237983587338805,0.05911524301374697,1
52.739543962478635,1.9463254032812773,1.160266637802124,0.09904243194387635,300,15,8,30,True,"{'n_estimators': 300, 'min_samples_split': 15, 'min_samples_leaf': 8, 'max_depth': 30, 'bootstrap': True}",0.769831965611567,0.8819851504493943,0.8870652598671356,0.8901914810472841,0.8882375928096913,0.8634622899570144,0.04689370847824674,74
26.164023303985594,1.0334257566702478,1.0237213134765626,0.21727199823800253,100,10,4,20,False,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_depth': 20, 'bootstrap': False}",0.7686596326690114,0.8898007033997656,0.8874560375146542,0.8855021492770614,0.8882375928096913,0.8639312231340368,0.04765590689951111,72
